North-America
57,1824
1151,547
1425,228
1561,91
1596,57
1641,57
1653,57
1698,57
1710,57
1755,57
1767,57
1812,102
1824,114
1869,159
1881,171
1972,2405
1995,2964
1493,3830
1368,4047
1276,4047
1254,4047
387,3910
171,3876
79,2690
57,2394
57,1938

EU
254,1030
60,388
158,268
238,180
304,148
384,128
436,90
538,42
634,16
760,48
800,40
832,40
840,40
872,40
880,40
912,40
920,40
952,40
960,40
992,40
1000,40
1032,40
1040,40
1296,200
1360,240
1872,1360
2000,1640
2000,1768
2000,1800
2000,1832
2000,1840
1968,1872
1960,1880
1416,2008
1280,2040
704,1464
560,1320
176,744
80,600
48,536

North-Europe
28,1036
386,296
418,82
655,44
700,28
744,28
756,28
935,50
980,56
957,1310
952,1624
884,1870
868,1932
845,1976
840,1988
817,2010
812,2016
789,2016
784,2016
582,1971
532,1960
436,1948
364,1884
295,1831
364,1820
95,1192

Australia
202,174
72,229
84,224
420,67
504,28
526,28
532,28
800,50
868,56
1405,190
1540,224
1808,492
1876,560
1853,582
1848,588
1825,610
1820,616
1797,638
1792,644
1680,733
1652,756
1584,756
1568,756
1097,711
980,700
263,520
84,476
39,319
28,280
28,257

Russia
199,1589
193,1197
228,1083
592,353
684,171
866,79
912,57
1641,102
1824,114
3465,752
3876,912
4012,1140
4047,1197
4001,1242
3990,1254
3260,1801
3078,1938
2804,1983
2736,1995
1003,1995
570,1995
478,1949
456,1938
136,1710

China
20,460
100,332
120,300
152,252
160,240
208,192
220,180
284,132
300,120
396,88
420,80
724,32
800,20
816,20
820,20
836,20
840,20
856,20
860,20
972,164
1000,200
1000,216
1000,220
1000,236
1000,240
1000,256
1000,260
968,340
960,360
832,680
800,760
784,792
780,800
764,832
760,840
632,984
600,1020
472,940
440,920
168,744
100,700
52,572
40,540
24,492
20,480
20,464

Central Asia
14,168
25,156
28,154
95,120
112,112
347,56
406,42
518,19
546,14
557,14
560,14
571,14
574,14
585,14
588,14
599,14
602,14
714,36
742,42
898,120
938,140
982,173
994,182
994,193
994,196
971,218
966,224
865,324
840,350
739,439
714,462
646,473
630,476
450,498
406,504
394,504
392,504
235,470
196,462
50,249
14,196
14,173

East EU
622,2033
34,78
60,30
100,14
110,10
118,10
120,10
128,10
130,10
138,10
140,10
228,18
250,20
362,220
390,270
470,454
490,500
330,500
290,500
266,492
260,490
228,466
220,460
196,436
190,430
70,302
40,270
16,166

East Europe
10,340
42,156
50,110
122,38
140,20
164,12
170,10
178,10
180,10
220,18
230,20
238,28
240,30
448,254
500,310
500,318
500,320
500,344
500,350
500,358
500,360
420,456
400,480
352,496
340,500
332,500
330,500
210,476
180,470
52,382
20,360
12,352
10,350
10,342

IndoChina
7,147
12,124
14,119
75,51
91,35
102,29
105,28
149,11
161,7
166,7
168,7
184,18
189,21
211,49
217,56
239,224
245,266
245,271
245,273
245,278
245,280
245,285
245,287
245,292
245,294
245,299
245,301
245,306
245,308
245,313
245,315
245,320
245,322
245,327
245,329
245,334
245,336
239,347
238,350
126,462
98,490
92,495
91,497
85,497
84,497
61,480
56,476
28,436
21,427
9,203

Indostan
20,20
52,20
60,20
396,52
480,60
528,92
540,100
876,324
960,380
1008,540
1020,580
988,820
980,880
724,976
660,1000
260,760
160,700
64,316
40,220
24,124
20,100
20,36

Latin-USA
10,290
18,266
20,260
180,60
220,10
228,10
230,10
238,10
240,10
384,186
420,230
484,382
500,420
500,428
500,430
284,486
230,500
182,500
170,500
122,452
110,440
30,352
10,330
10,298

North-Africa
28,504
72,414
84,392
196,235
224,196
313,106
336,84
537,39
588,28
610,28
616,28
638,28
644,28
666,28
672,28
694,28
700,28
722,28
728,28
